Postal Code|Borough|Neighborhood
M9A|Etobicoke|Islington Avenue, Humber Valley Village
M4L|East Toronto|India Bazaar, The Beaches West
M6C|York|Humewood-Cedarvale
M9M|North York|Humberlea, Emery
M9L|North York|Humber Summit
M2H|North York|Hillcrest Village
M6P|West Toronto|High Park, The Junction South
M5J|Downtown Toronto|Harbourfront East, Union Station, Toronto Islands
M1E|Scarborough|Guildwood, Morningside, West Hill
M1L|Scarborough|Golden Mile, Clairlea, Oakridge
M6B|North York|Glencairn
M5B|Downtown Toronto|Garden District, Ryerson
M5P|Central Toronto|Forest Hill North & West, Forest Hill Road Park
M5X|Downtown Toronto|First Canadian Place, Underground city
M2J|North York|Fairview, Henry Farm, Oriole
M9C|Etobicoke|Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood
M4J|East York|East Toronto, Broadview North (Old East York)
M6H|West Toronto|Dufferin, Dovercourt Village
M3K|North York|Downsview
M3L|North York|Downsview
M3M|North York|Downsview
M3N|North York|Downsview
M1P|Scarborough|Dorset Park, Wexford Heights, Scarborough Town Centre
M3B|North York|Don Mills
M3C|North York|Don Mills
M6M|York|Del Ray, Mount Dennis, Keelsdale and Silverthorn
M4P|Central Toronto|Davisville North
M4S|Central Toronto|Davisville
M5L|Downtown Toronto|Commerce Court, Victoria Hotel
M5V|Downtown Toronto|CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport
M1M|Scarborough|Cliffside, Cliffcrest, Scarborough Village West
M1T|Scarborough|Clarks Corners, Tam O'Shanter, Sullivan
M4Y|Downtown Toronto|Church and Wellesley
M6G|Downtown Toronto|Christie
M5G|Downtown Toronto|Central Bay Street
M1H|Scarborough|Cedarbrae
M7R|Mississauga|Canada Post Gateway Processing Centre
M6E|York|Caledonia-Fairbanks
M7Y|East Toronto|Business reply mail Processing Centre, South Central Letter Processing Plant Toronto
M6K|West Toronto|Brockton, Parkdale Village, Exhibition Place
M1N|Scarborough|Birch Cliff, Cliffside West
M5E|Downtown Toronto|Berczy Park
M5M|North York|Bedford Park, Lawrence Manor East
M2K|North York|Bayview Village
M3H|North York|Bathurst Manor, Wilson Heights, Downsview North
M8W|Etobicoke|Alderwood, Long Branch
M1S|Scarborough|Agincourt
M1A|Not assigned|
M2A|Not assigned|
M8A|Not assigned|
M2B|Not assigned|
M7B|Not assigned|
M8B|Not assigned|
M2C|Not assigned|
M7C|Not assigned|
M8C|Not assigned|
M2E|Not assigned|
M3E|Not assigned|
M7E|Not assigned|
M8E|Not assigned|
M9E|Not assigned|
M2G|Not assigned|
M3G|Not assigned|
M7G|Not assigned|
M8G|Not assigned|
M9G|Not assigned|
M7H|Not assigned|
M8H|Not assigned|
M9H|Not assigned|
M7J|Not assigned|
M8J|Not assigned|
M9J|Not assigned|
M7K|Not assigned|
M8K|Not assigned|
M9K|Not assigned|
M7L|Not assigned|
M8L|Not assigned|
M7M|Not assigned|
M8M|Not assigned|
M7N|Not assigned|
M8N|Not assigned|
M3P|Not assigned|
M7P|Not assigned|
M8P|Not assigned|
M3R|Not assigned|
M8R|Not assigned|
M2S|Not assigned|
M3S|Not assigned|
M7S|Not assigned|
M8S|Not assigned|
M9S|Not assigned|
M2T|Not assigned|
M3T|Not assigned|
M6T|Not assigned|
M7T|Not assigned|
M8T|Not assigned|
M9T|Not assigned|
M2V|Not assigned|
M3V|Not assigned|
M6V|Not assigned|
M7V|Not assigned|
M2W|Not assigned|
M3W|Not assigned|
M6W|Not assigned|
M7W|Not assigned|
M2X|Not assigned|
M3X|Not assigned|
M6X|Not assigned|
M7X|Not assigned|
M9X|Not assigned|
M1Y|Not assigned|
M2Y|Not assigned|
M3Y|Not assigned|
M5Y|Not assigned|
M6Y|Not assigned|
M9Y|Not assigned|
M1Z|Not assigned|
M2Z|Not assigned|
M3Z|Not assigned|
M4Z|Not assigned|
M5Z|Not assigned|
M6Z|Not assigned|
M7Z|Not assigned|
M9Z|Not assigned|
